timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772684017490,363,resources-1,301,Moved Permanently,Thread Group 1-2,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,363,0,244
1772684017853,5989,resources-2,200,OK,Thread Group 1-2,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,430,0,0
1772684011903,13465,training,200,OK,Thread Group 1-5,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,134,0,0
1772684011903,134,training-0,301,Moved Permanently,Thread Group 1-5,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,134,0,0
1772684012037,123,training-1,301,Moved Permanently,Thread Group 1-5,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,123,0,0
1772684012160,13208,training-2,200,OK,Thread Group 1-5,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,291,0,0
1772684019727,7375,resources,200,OK,Thread Group 1-8,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,127,0,0
1772684019727,127,resources-0,301,Moved Permanently,Thread Group 1-8,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,127,0,0
1772684019854,123,resources-1,301,Moved Permanently,Thread Group 1-8,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,123,0,0
1772684019977,7125,resources-2,200,OK,Thread Group 1-8,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,382,0,0
1772684014308,13494,training,200,OK,Thread Group 1-6,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,119,0,0
1772684014308,119,training-0,301,Moved Permanently,Thread Group 1-6,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,119,0,0
1772684014427,136,training-1,301,Moved Permanently,Thread Group 1-6,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,136,0,0
1772684014563,13239,training-2,200,OK,Thread Group 1-6,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,933,0,0
1772684018506,9592,simpli,200,OK,Thread Group 1-10,text,true,,532187,242,10,10,https://www.simplilearn.com/,253,0,125
1772684018506,253,simpli-0,301,Moved Permanently,Thread Group 1-10,text,true,,569,121,10,10,http://www.simplilearn.com/,253,0,125
1772684018759,9339,simpli-1,200,OK,Thread Group 1-10,text,true,,531618,121,10,10,https://www.simplilearn.com/,542,0,245
1772684015506,12936,training,200,OK,Thread Group 1-7,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,129,0,0
1772684015506,129,training-0,301,Moved Permanently,Thread Group 1-7,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,129,0,0
1772684015635,237,training-1,301,Moved Permanently,Thread Group 1-7,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,237,0,0
1772684015872,12570,training-2,200,OK,Thread Group 1-7,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,409,0,0
1772684017740,11225,simpli,200,OK,Thread Group 1-4,text,true,,532187,242,10,10,https://www.simplilearn.com/,133,0,0
1772684017740,133,simpli-0,301,Moved Permanently,Thread Group 1-4,text,true,,569,121,10,10,http://www.simplilearn.com/,133,0,0
1772684017873,11092,simpli-1,200,OK,Thread Group 1-4,text,true,,531618,121,10,10,https://www.simplilearn.com/,707,0,0
1772684022140,7845,resources,200,OK,Thread Group 1-9,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,132,0,0
1772684022140,132,resources-0,301,Moved Permanently,Thread Group 1-9,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,132,0,0
